1804N,"Operation & Maintenance, Navy",NAVY,01,Operating Forces,1C,Combat Operations/Support,180,1C6C,Combat Support Forces,Y,"1,158,688","109,931","1,268,619","568,511","6,794",0,"575,305","-9,144","566,161","1,724,849","109,931","1,834,780",U
1804N,"Operation & Maintenance, Navy",NAVY,01,Operating Forces,1C,Combat Operations/Support,190,1C7C,Equipment Maintenance and Depot Operations Support,Y,"113,692","11,800","125,492","11,358",0,0,"11,358",0,"11,358","125,050","11,800","136,850",U
1804N,"Operation & Maintenance, Navy",NAVY,01,Operating Forces,1C,Combat Operations/Support,200,1C8C,Depot Operations Support,Y,"2,509",0,"2,509",0,0,0,0,0,0,"2,509",0,"2,509",U
1804N,"Operation & Maintenance, Navy",NAVY,01,Operating Forces,1C,Combat Operations/Support,210,1CCH,Combatant Commanders Core Operations,Y,"91,019",-59,"90,960",0,0,0,0,0,0,"91,019",-59,"90,960",U
1804N,"Operation & Maintenance, Navy",NAVY,01,Operating Forces,1C,Combat Operations/Support,220,1CCM,Combatant Commanders Direct Mission Support,Y,"74,780",8,"74,788",0,0,0,0,0,0,"74,780",8,"74,788",U
1804N,"Operation & Maintenance, Navy",NAVY,01,Operating Forces,1D,Weapons Support,230,1D1D,Cruise Missile,Y,"106,030","7,500","113,530",0,0,0,0,0,0,"106,030","7,500","113,530",U
1804N,"Operation & Maintenance, Navy",NAVY,01,Operating Forces,1D,Weapons Support,240,1D2D,Fleet Ballistic Missile,Y,"1,233,805",-40,"1,233,765",0,0,0,0,0,0,"1,233,805",-40,"1,233,765",U
1804N,"Operation & Maintenance, Navy",NAVY,01,Operating Forces,1D,Weapons Support,250,1D3D,In-Service Weapons Systems Support,Y,"163,025",0,"163,025","61,000",0,"2,800","63,800",0,"63,800","224,025","2,800","226,825",U
1804N,"Operation & Maintenance, Navy",NAVY,01,Operating Forces,1D,Weapons Support,260,1D4D,Weapons Maintenance,Y,"553,269",0,"553,269","289,045","20,000","70,500","379,545","-20,000","359,545","842,314","70,500","912,814",U
1804N,"Operation & Maintenance, Navy",NAVY,01,Operating Forces,1D,Weapons Support,270,1D7D,Other Weapon Systems Support,Y,"350,010",18,"350,028","8,000",0,0,"8,000",0,"8,000","358,010",18,"358,028",U
1804N,"Operation & Maintenance, Navy",NAVY,01,Operating Forces,BS,Base Support,280,BSIT,Enterprise Information,Y,"790,685",179,"790,864",0,0,0,0,0,0,"790,685",179,"790,864",U
1804N,"Operation & Maintenance, Navy",NAVY,01,Operating Forces,BS,Base Support,290,BSM1,"Sustainment, Restoration and Modernization",Y,"1,642,742","171,286","1,814,028","27,089",0,0,"27,089",0,"27,089","1,669,831","171,286","1,841,117",U
1804N,"Operation & Maintenance, Navy",NAVY,01,Operating Forces,BS,Base Support,300,BSS1,Base Operating Support,Y,"4,206,136","37,133","4,243,269","219,525",0,0,"219,525",0,"219,525","4,425,661","37,133","4,462,794",U
1804N,"Operation & Maintenance, Navy",NAVY,02,Mobilization,2A,Ready Reserve and Prepositioning Force,310,2A1F,Ship Prepositioning and Surge,Y,"893,517","-170,766","722,751",0,0,0,0,0,0,"893,517","-170,766","722,751",U
1804N,"Operation & Maintenance, Navy",NAVY,02,Mobilization,2A,Ready Reserve and Prepositioning Force,320,2A2F,Ready Reserve Force,Y,"274,524","-274,524",0,0,0,0,0,0,0,"274,524","-274,524",0,U
1804N,"Operation & Maintenance, Navy",NAVY,02,Mobilization,2B,Activations/Inactivations,330,2B1G,Aircraft Activations/Inactivations,Y,"6,727",0,"6,727","1,530",0,0,"1,530",0,"1,530","8,257",0,"8,257",U
1804N,"Operation & Maintenance, Navy",NAVY,02,Mobilization,2B,Activations/Inactivations,340,2B2G,Ship Activations/Inactivations,Y,"288,154",13,"288,167",0,0,0,0,0,0,"288,154",13,"288,167",U
